Stkcd	Stknme_en	Listdt	Conme_en	OWNERSHIPTYPE_EN	OWNERSHIPTYPECODE	Ipoprc	Nshripo	Parval	Markettype
688318	CFQS	2020-04-27	Shenzhen Fortune Trend Technology Co., Ltd.	Private Enterprises	P0306	107.4100	16670	1.0000000000	32
688319	OLSW	2021-06-08	Chengdu Olymvax Biopharmaceuticals Inc.	Private Enterprises	P0306	9.8800	40530	1.0000000000	32
688320	HCKJ	2022-04-28	Zhejiang Hechuan Technology Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	23.6600	37760	1.0000000000	32
688321	WXSW	2019-08-12	Shenzhen Chipscreen Biosciences Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	20.4300	50000	1.0000000000	32
688322	ABZG	2022-07-07	Orbbec Inc.	Private Enterprises	P0306	30.9900	40001	1.0000000000	32
688323	RHT	2021-04-28	RayiTEK Hi-Tech Film Company Ltd.	Private Enterprises	P0306	5.9700	45000	1.0000000000	32
688325	SWWD	2022-04-22	Guangdong Cellwise Microelectronics Co., Ltd.	Private Enterprises	P0306	74.5500	20000	1.0000000000	32
688326	JWHR	2022-04-19	Beijing Jingwei Hirain Technologies Co., Inc.	Private Enterprises	P0306	121.0000	30000	1.0000000000	32
688327	YCKJ	2022-05-27	CloudWalk Technology Co., Ltd.	Private Enterprises	P0306	15.3700	112430	1.0000000000	32
688328	SKD	2021-03-09	Shenzhen Sking Intelligent Equipment Co. Ltd.	Private Enterprises	P0306	16.4900	20260	1.0000000000	32
688329	ALKJ	2021-03-29	Suzhou Iron Technology Co., Ltd.	Private Enterprises	P0306	16.8100	19300	1.0000000000	32
688330	HLD	2020-10-15	Shanghai Holystar Information Technology Co., Ltd.	Private Enterprises	P0306	88.2300	25000	1.0000000000	32
688331	RCSW	2022-03-31	RemeGen Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	48.0000	54426	1.0000000000	32
688332	ZKLX	2022-07-15	Shenzhen Bluetrum Technology Co., Ltd.	Private Enterprises	P0306	91.6600	30000	1.0000000000	32
688333	BLT	2019-07-22	Xi'an Bright Laser Technologies Co., Ltd.	Private Enterprises	P0306	33.0000	20000	1.0000000000	32
688334	XGY	2023-06-19	Xi'an High Voltage Apparatus Research Institute Co., Ltd.	State-run or State-owned Holding	P0301	14.1600	79145	1.0000000000	32
688335	FJHB	2020-08-17	Shanghai CEO Environmental Protection Technology Co., Ltd.	Private Enterprises	P0306	46.2200	18200	1.0000000000	32
688336	SSGJ	2020-07-22	Sunshine Guojian Pharmaceutical (Shanghai) Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	28.1800	61621	1.0000000000	32
688337	PYJD	2022-04-08	Rigol Technologies Co., Ltd.	Private Enterprises	P0306	60.8800	30327	1.0000000000	32
688338	SKXD	2020-08-06	Beijing Succeeder Technology Inc.	Private Enterprises	P0306	50.3500	20412	1.0000000000	32
688339	YHT	2020-08-10	Beijing SinoHytec Co., Ltd.	Private Enterprises	P0306	76.6500	17631	1.0000000000	32
688343	YTLF	2023-04-04	Shenzhen Intellifusion Technologies Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	43.9200	88783	1.0000000000	32
688345	BLW	2021-06-11	Guangdong Greenway Technology Co., Ltd.	Private Enterprises	P0306	25.9100	25000	1.0000000000	32
688347	HHGS	2023-08-07	Hua Hong Semiconductor Limited	State-run or State-owned Holding	P0301	52.0000	407750		32
688348	YNKJ	2022-06-08	Yuneng Technology Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	163.0000	20000	1.0000000000	32
688349	SYZN	2022-06-22	Sany Heavy Energy Co., Ltd.	Private Enterprises	P0306	29.8000	188286	1.0000000000	32
688350	FMKJ	2021-01-28	Jiangsu Feymer Technology Co., Ltd.	Private Enterprises	P0306	13.5800	30550	1.0000000000	32
688351	WDSL	2022-08-31	Shanghai MicroPort EP MedTech Co., Ltd.	Private Enterprises	P0306	16.5100	70600	1.0000000000	32
688352	QZKJ	2023-04-20	Hefei Chipmore Technology Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	12.1000	200000	1.0000000000	32
688353	HSLD	2022-07-13	Jiangsu HSC Lithium Battery Materials Co., Ltd.	Private Enterprises	P0306	98.3500	28000	1.0000000000	32
688355	MZKJ	2021-05-12	Suzhou Mingzhi Technology Co.,Ltd.	Private Enterprises	P0306	17.6500	30770	1.0000000000	32
688356	JKKJ	2020-08-26	Jenkem Technology Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	41.1800	15000	1.0000000000	32
688357	JLWN	2019-12-04	Luoyang Jalon Micro-Nano New Materials Co., Ltd.	Private Enterprises	P0306	43.2800	14460	1.0000000000	32
688358	XSYL	2019-12-03	Chison Medical Technologies Co., Ltd.	Private Enterprises	P0306	50.5300	20000	1.0000000000	32
688359	SFXK	2021-05-21	Guangzhou Sanfu New Materials Technology Co., Ltd.	Private Enterprises	P0306	11.0300	23046	1.0000000000	32
688360	DMKJ	2020-06-02	Damon Technology Group Co., Ltd.	Private Enterprises	P0306	25.1200	21419	1.0000000000	32
688361	ZKFC	2023-05-19	Skyverse Technology Co., Ltd.	Private Enterprises	P0306	23.6000	80000	1.0000000000	32
688362	YXDZ	2022-11-16	Forehope Electronic (Ningbo) Co., Ltd.	Private Enterprises	P0306	18.5400	60000	1.0000000000	32
688363	HXSW	2019-11-06	Bloomage Biotechnology Corporation Limited	Sino-foreign Equity Joint Venture	P0303	47.7900	49563	1.0000000000	32
688365	GYKJ	2020-04-29	Hangzhou Raycloud Technology Co., Ltd.	Private Enterprises	P0306	10.8000	40100	1.0000000000	32
688366	HHSK	2019-10-30	Shanghai Haohai Biological Technology Co., Ltd.	Private Enterprises	P0306	89.2300	17800	1.0000000000	32
688367	GDGK	2021-06-28	Hefei Gocom Information Technology Co., Ltd.	Private Enterprises	P0306	11.5300	21690	1.0000000000	32
688368	JFMY	2019-10-14	Shanghai Bright Power Semiconductor Co., Ltd.	Private Enterprises	P0306	56.6800	15400	1.0000000000	32
688369	ZYHL	2019-10-31	Beijing Seeyon Internet Software Corp.	Private Enterprises	P0306	49.3900	19250	1.0000000000	32
688370	CLKJ	2022-08-25	Shanghai Conglin Environmental Protection Technology Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	59.7600	26606	1.0000000000	32
688371	FWT	2022-08-02	Jiangsu Favored Nanotechnology Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	18.5400	83868	1.0000000000	32
688372	WCKJ	2022-10-26	Shanghai V-test Semiconductor Technology Co., Ltd.	Private Enterprises	P0306	61.4900	21803	1.0000000000	32
688373	MKYY	2022-08-05	Shanghai MicuRx Pharmaceutical Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	8.1600	130000	1.0000000000	32
688375	GBDZ	2022-07-22	Guobo Electronics Co., Ltd.	State-run or State-owned Holding	P0301	70.8800	40010	1.0000000000	32
688376	MAKJ	2022-11-18	MayAir Technology (China) Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	29.1900	33600	1.0000000000	32
688377	DWE	2020-07-08	Nanjing Develop Advanced Manufacturing Co., Ltd.	Private Enterprises	P0306	16.4200	48667	1.0000000000	32
688378	ALD	2020-09-03	Jilin Optical and Electronic Materials Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	62.5700	18284	1.0000000000	32
688379	HGXC	2020-08-19	Hangzhou Huaguang Welding New Material Co., Ltd.	Private Enterprises	P0306	16.7800	22000	1.0000000000	32
688380	ZWBD	2022-08-05	Shenzhen China Micro Semicon Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	30.8600	63000	1.0000000000	32
688381	DAW	2022-08-23	Dioo Microcircuits Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	41.6800	63050	1.0000000000	32
688382	YFSW	2022-07-25	InventisBio Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	18.1200	115000	1.0000000000	32
